source	relation	target
C2	SUB_CLASS_OF	C1
C3	IS_OBJECT_OF_CATALYST	C1
C3	SUB_CLASS_OF	C1
C4	SUB_CLASS_OF	C3
C5	SUB_CLASS_OF	C3
C6	SUB_CLASS_OF	C1
C7	SUB_CLASS_OF	C6
C8	SUB_CLASS_OF	C6
C61	SUB_CLASS_OF	C8
C9	IS_RESULT_OF	C1
C10	IS_CATALYST_OF	C1
C12	SUB_CLASS_OF	C11
C13	SUB_CLASS_OF	C11
C14	SUB_CLASS_OF	C11
C15	SUB_CLASS_OF	C11
C16	SUB_CLASS_OF	C11
C17	SUB_CLASS_OF	C11
C20	SUB_CLASS_OF	C19
C21	SUB_CLASS_OF	C20
C22	SUB_CLASS_OF	C19
C23	SUB_CLASS_OF	C19
C26	SUB_CLASS_OF	C25
C27	SUB_CLASS_OF	C26
C28	SUB_CLASS_OF	C26
C29	SUB_CLASS_OF	C25
C62	SUB_CLASS_OF	C29
C30	SUB_CLASS_OF	C25
C31	SUB_CLASS_OF	C30
C32	SUB_CLASS_OF	C25
C33	SUB_CLASS_OF	C25
C34	SUB_CLASS_OF	C25
C35	SUB_CLASS_OF	C25
C36	SUB_CLASS_OF	C25
C37	SUB_CLASS_OF	C25
C38	SUB_CLASS_OF	C25
C39	SUB_CLASS_OF	C25
C41	SUB_CLASS_OF	C40
C42	SUB_CLASS_OF	C41
C43	SUB_CLASS_OF	C40
C46	PLAY_ROLE_OF	C45
C48	SUB_CLASS_OF	C47
C49	SUB_CLASS_OF	C47
C50	SUB_CLASS_OF	C47
C51	SUB_CLASS_OF	C47
C54	SUB_CLASS_OF	C63
C64	SUB_CLASS_OF	C63
C65	SUB_CLASS_OF	C63
C56	SUB_CLASS_OF	C55
C57	SUB_CLASS_OF	C56
C58	SUB_CLASS_OF	C56
C59	SUB_CLASS_OF	C55
